description,img_id,context,q1,q2,q3,q4,article_text
A group of men assembled on a soccer field wearing blue uniforms.,soccer_in_progress13,Hairstyle,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","A hairstyle, hairdo, or haircut refers to the styling of hair, usually on the human scalp. Sometimes, this could also mean an editing of facial or body hair. The fashioning of hair can be considered an aspect of personal grooming, fashion, and cosmetics, although practical, cultural, and popular considerations also influence some hairstyles."
Four men are working together in an office while using computers and white boards.,meeting_in_progress17,Cooperation,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,church8,Christian cross,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
A large river is seen from above as it curves around a large hill about 150 feet tall. Snow-capped mountains are in the background.,mountains18,Orogeny,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",An orogeny is an event that leads to both structural deformation and compositional differentiation of the Earth's lithosphere (crust and uppermost mantle) at convergent plate margins. An orogen or orogenic belt develops when a continental plate crumples and is uplifted to form one or more mountain ranges; this involves a series of geological processes collectively called orogenesis. A synorogenic event is one that occurs during an orogeny.
A building that looks like is made of concrete and steel. It has multiple roof shapes from A-frame to cone shaped.,church19,Roof,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","A roof is the top covering of a building, including all materials and constructions necessary to support it on the walls of the building or on uprights, providing protection against rain, snow, sunlight, extremes of temperature, and wind. A roof is part of the building envelope."
One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,soccer_in_progress1,Advertising,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
A traditional church made of brick with a tall steeple and a cross on top of it.,church4,Building material,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
"A small, cozy living room with three chairs, a couch, a shelf, a coffee table, and a wood stove.  Two large windows are in the back of the room looking out towards some trees.",living_room11,Window,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","A window is an opening in a wall, door, roof, or vehicle that allows the passage of light and may also allow the passage of sound and sometimes air. Modern windows are usually glazed or covered in some other transparent or translucent material, a sash set in a frame in the opening; the sash and frame are also referred to as a window. Many glazed windows may be opened, to allow ventilation, or closed, to exclude inclement weather. Windows may have a latch or similar mechanism to lock the window shut or to hold it open by various amounts."
A dinner table is shown with food and drinks that will be consumed at a traditional dinner setting.,laid_table14,Dinner,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Dinner usually refers to what is in many Western cultures the largest and most formal meal of the day, which some Westerners eat in the evening. Historically the largest meal used to be eaten around midday, and called dinner. In Western cultures, especially among the elite, it gradually migrated later in the day over the 16th to 19th centuries. However, the word ""dinner"" can have different meanings depending on culture, and may mean a meal of any size eaten at any time of day. In particular, it is still sometimes used for a meal at noon or in the early afternoon on special occasions, such as a Christmas dinner. In hot climates, people have always tended to eat the main meal in the evening, after the temperature has fallen."
"Shown is a lake at the bottom of a mountain range. The mountains are high in elevation and contain snow on parts of it. As the snow melts, it enters the lake.",mountains16,Montane Ecosystems,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Montane ecosystems are found on the slopes of mountains. The alpine climate in these regions strongly affects the ecosystem because temperatures fall as elevation increases, causing the ecosystem to stratify. This stratification is a crucial factor in shaping plant community, biodiversity, metabolic processes and ecosystem dynamics for montane ecosystems. Dense montane forests are common at moderate elevations, due to moderate temperatures and high rainfall. At higher elevations, the climate is harsher, with lower temperatures and higher winds, preventing the growth of trees and causing the plant community to transition to montane grasslands, shrublands or alpine tundra. Due to the unique climate conditions of montane ecosystems, they contain increased numbers of endemic species. Montane ecosystems also exhibit variation in ecosystem services, which include carbon storage and water supply."
