description,img_id,context,q1,q2,q3,q4,article_text
Three men trying to get to a soccer ball during a game. One man has fallen and two opposing team members are stopping next to him.,soccer_in_progress10,Competition,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
An orange and white guitar and a brown and white guitar being played.,guitar.png,Guitar,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"The guitar is a fretted musical instrument that typically has six strings. It is held flat against the player's body and played by strumming or plucking the strings with the dominant hand, while simultaneously pressing selected strings against frets with the fingers of the opposite hand. A plectrum or individual finger picks may be used to strike the strings. The sound of the guitar is projected either acoustically, by means of a resonant chamber on the instrument, or amplified by an electronic pickup and an amplifier."
One football player is kneeling while one on another team stands behind him. The ball is flying through the air and the seats are full of fans,soccer_in_progress1,Advertising,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
"There is a table set for dinner. The meal consists of some chicken, fruit, potatoes, salad, etc. There is also a picnic patterned placemet over the wood table.",laid_table12,Tableware,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"Tableware are the dishes or dishware used for setting a table, serving food and dining. It includes cutlery, glassware, serving dishes and other items for practical as well as decorative purposes. The quality, nature, variety and number of objects varies according to culture, religion, number of diners, cuisine and occasion. For example, Middle Eastern, Indian or Polynesian food culture and cuisine sometimes limits tableware to serving dishes, using bread or leaves as individual plates. Cups are not dishes. Special occasions are usually reflected in higher quality tableware."
A river flowing through a valley with low hills in the forefront and high snow-peaked mountains in the distance.  The mountain peaks are partially cloud covered.,mountains18,Orogeny,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,An orogeny is an event that leads to both structural deformation and compositional differentiation of the Earth's lithosphere (crust and uppermost mantle) at convergent plate margins. An orogen or orogenic belt develops when a continental plate crumples and is uplifted to form one or more mountain ranges; this involves a series of geological processes collectively called orogenesis. A synorogenic event is one that occurs during an orogeny.
Two men on a soccer team sponsored by Red Bull wearing white jerseys are competing in a soccer match. There is a player from another team in a red jersey who is on the ground while a referee in blue is approaching the play.,soccer_in_progress10,Hairstyle,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"A hairstyle, hairdo, or haircut refers to the styling of hair, usually on the human scalp. Sometimes, this could also mean an editing of facial or body hair. The fashioning of hair can be considered an aspect of personal grooming, fashion, and cosmetics, although practical, cultural, and popular considerations also influence some hairstyles."
"Vast green mountain ranges surround a body of water. Roads leading to small houses wind around the ranges, checkering the sides of the mountains with white and orange colors.",mountains9,Body of water,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
There is a passive set of mountain slopes with snow on top and between two mountains is a rift and a large body of water in forefront.,mountains16,Montane Ecosystems,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"Montane ecosystems are found on the slopes of mountains. The alpine climate in these regions strongly affects the ecosystem because temperatures fall as elevation increases, causing the ecosystem to stratify. This stratification is a crucial factor in shaping plant community, biodiversity, metabolic processes and ecosystem dynamics for montane ecosystems. Dense montane forests are common at moderate elevations, due to moderate temperatures and high rainfall. At higher elevations, the climate is harsher, with lower temperatures and higher winds, preventing the growth of trees and causing the plant community to transition to montane grasslands, shrublands or alpine tundra. Due to the unique climate conditions of montane ecosystems, they contain increased numbers of endemic species. Montane ecosystems also exhibit variation in ecosystem services, which include carbon storage and water supply."
"A group of nine people, three women and six men are sitting around a two boardroom meeting tables that have been pushed together. Each person except for one man has a laptop open in front of them. Each person is looking up from their laptops and looking at the camera and smiling. They are in an office setting in front of a large window. There is a clear view to the outside which is lush with greenery.",meeting_in_progress2,Consumer electronics,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
It shows a group of humans sitting in a meeting together.,meeting_in_progress7,Cooperation,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
