description,img_id,context,q1,q2,q3,q4,article_text
A soccer field showing advertising billboards in the background.,soccer_in_progress1,Advertising,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Advertising is a marketing communication that employs an openly sponsored, non-personal message to promote or sell a product, service or idea. Sponsors of advertising are typically businesses wishing to promote their products or services. Advertising is differentiated from public relations in that an advertiser pays for and has control over the message. It differs from personal selling in that the message is non-personal, i.e., not directed to a particular individual. Advertising is communicated through various mass media, including traditional media such as newspapers, magazines, television, radio, outdoor advertising or direct mail; and new media such as search results, blogs, social media, websites or text messages. The actual presentation of the message in a medium is referred to as an advertisement: advert or ad for short."
The image shows a large river running through mountains in summer or early fall.,mountains18,Montane Ecosystems,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Montane ecosystems are found on the slopes of mountains. The alpine climate in these regions strongly affects the ecosystem because temperatures fall as elevation increases, causing the ecosystem to stratify. This stratification is a crucial factor in shaping plant community, biodiversity, metabolic processes and ecosystem dynamics for montane ecosystems. Dense montane forests are common at moderate elevations, due to moderate temperatures and high rainfall. At higher elevations, the climate is harsher, with lower temperatures and higher winds, preventing the growth of trees and causing the plant community to transition to montane grasslands, shrublands or alpine tundra. Due to the unique climate conditions of montane ecosystems, they contain increased numbers of endemic species. Montane ecosystems also exhibit variation in ecosystem services, which include carbon storage and water supply."
"A vintage church building is shown. The building is created out of square tan colored stone with rectangular brick accenting each layer of stone. The church building is constructed on a tiled floor in a lighter tan color. Portions of the roof are flat and there are separated domed, arched sections that are made in varying levels. Three of these sections have large, bright golden crosses on top of them. There are no visible windows but there are sections that contain five small, round holes that may be a window of some type",church8,Roof,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","A roof is the top covering of a building, including all materials and constructions necessary to support it on the walls of the building or on uprights, providing protection against rain, snow, sunlight, extremes of temperature, and wind. A roof is part of the building envelope."
Wicker furniture surrounds a coffee table.,living_room11,Window,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","A window is an opening in a wall, door, roof, or vehicle that allows the passage of light and may also allow the passage of sound and sometimes air. Modern windows are usually glazed or covered in some other transparent or translucent material, a sash set in a frame in the opening; the sash and frame are also referred to as a window. Many glazed windows may be opened, to allow ventilation, or closed, to exclude inclement weather. Windows may have a latch or similar mechanism to lock the window shut or to hold it open by various amounts."
The interior view of a dining room.,living_room6,Interior design,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Interior design is the art and science of enhancing the interior of a building to achieve a healthier and more aesthetically pleasing environment for the people using the space. An interior designer is someone who plans, researches, coordinates, and manages such enhancement projects. Interior design is a multifaceted profession that includes conceptual development, space planning, site inspections, programming, research, communicating with the stakeholders of a project, construction management, and execution of the design."
Chefs prepare plates of food.,laid_table3,Dinner,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Dinner usually refers to what is in many Western cultures the largest and most formal meal of the day, which some Westerners eat in the evening. Historically the largest meal used to be eaten around midday, and called dinner. In Western cultures, especially among the elite, it gradually migrated later in the day over the 16th to 19th centuries. However, the word ""dinner"" can have different meanings depending on culture, and may mean a meal of any size eaten at any time of day. In particular, it is still sometimes used for a meal at noon or in the early afternoon on special occasions, such as a Christmas dinner. In hot climates, people have always tended to eat the main meal in the evening, after the temperature has fallen."
A large river flowing across the land,mountains18,Body of water,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
The image shows a relatively small church on the ground.,church8,Building material,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
dishes on a table,laid_table3,Tableware,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Tableware are the dishes or dishware used for setting a table, serving food and dining. It includes cutlery, glassware, serving dishes and other items for practical as well as decorative purposes. The quality, nature, variety and number of objects varies according to culture, religion, number of diners, cuisine and occasion. For example, Middle Eastern, Indian or Polynesian food culture and cuisine sometimes limits tableware to serving dishes, using bread or leaves as individual plates. Cups are not dishes. Special occasions are usually reflected in higher quality tableware."
players celebrating a goal,soccer_in_progress13,Competition,How well can you imagine this image in your mind?:::Not well:::Very well,How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right","Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
