description,img_id,context,q1,q2,q3,q4,article_text
"a group of chefs in a kitchen getting meals ready for an event , they are all dressed in white",laid_table3,Tableware,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Tableware are the dishes or dishware used for setting a table, serving food and dining. It includes cutlery, glassware, serving dishes and other items for practical as well as decorative purposes. The quality, nature, variety and number of objects varies according to culture, religion, number of diners, cuisine and occasion. For example, Middle Eastern, Indian or Polynesian food culture and cuisine sometimes limits tableware to serving dishes, using bread or leaves as individual plates. Cups are not dishes. Special occasions are usually reflected in higher quality tableware."
A classic building with three Christian crosses on the roofs. The crosses represent an interpretation of Jesus' body.,church8,Christian cross,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
An orange and white guitar and a brown and white guitar being played.,guitar.png,Guitar,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"The guitar is a fretted musical instrument that typically has six strings. It is held flat against the player's body and played by strumming or plucking the strings with the dominant hand, while simultaneously pressing selected strings against frets with the fingers of the opposite hand. A plectrum or individual finger picks may be used to strike the strings. The sound of the guitar is projected either acoustically, by means of a resonant chamber on the instrument, or amplified by an electronic pickup and an amplifier."
Two men give a presentation.,meeting_in_progress17,Consumer electronics,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
"\nA table is set with a meal on it.  Included on the table are salads, potatoes, peas, pickles, and olives.",laid_table12,American cuisine,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
A large river flowing across the land,mountains18,Body of water,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
"A small, cozy living room with three chairs, a couch, a shelf, a coffee table, and a wood stove.  Two large windows are in the back of the room looking out towards some trees.",living_room11,Window,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"A window is an opening in a wall, door, roof, or vehicle that allows the passage of light and may also allow the passage of sound and sometimes air. Modern windows are usually glazed or covered in some other transparent or translucent material, a sash set in a frame in the opening; the sash and frame are also referred to as a window. Many glazed windows may be opened, to allow ventilation, or closed, to exclude inclement weather. Windows may have a latch or similar mechanism to lock the window shut or to hold it open by various amounts."
A group of soccer players celebrate on the field,soccer_in_progress13,Competition,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
A park on a nice day with lots of grass and trees and a pond.,sculpture.png,Sculpture,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Sculpture is the branch of the visual arts that operates in three dimensions. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast."
The outside frontal view of a brick church.  There is also a small graveyard in front of the church.,church4,Building material,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
Three people talk while sitting on couches around a coffee table in a living room.,living_room15,Interior design,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Interior design is the art and science of enhancing the interior of a building to achieve a healthier and more aesthetically pleasing environment for the people using the space. An interior designer is someone who plans, researches, coordinates, and manages such enhancement projects. Interior design is a multifaceted profession that includes conceptual development, space planning, site inspections, programming, research, communicating with the stakeholders of a project, construction management, and execution of the design."
"A dining room table is set for dinner, with plates, knives, forks, spoons, and glasses, while a cooked turkey and floral centerpiece sit in the middle of the table.",laid_table14,Dinner,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Dinner usually refers to what is in many Western cultures the largest and most formal meal of the day, which some Westerners eat in the evening. Historically the largest meal used to be eaten around midday, and called dinner. In Western cultures, especially among the elite, it gradually migrated later in the day over the 16th to 19th centuries. However, the word ""dinner"" can have different meanings depending on culture, and may mean a meal of any size eaten at any time of day. In particular, it is still sometimes used for a meal at noon or in the early afternoon on special occasions, such as a Christmas dinner. In hot climates, people have always tended to eat the main meal in the evening, after the temperature has fallen."
"A vintage church building is shown. The building is created out of square tan colored stone with rectangular brick accenting each layer of stone. The church building is constructed on a tiled floor in a lighter tan color. Portions of the roof are flat and there are separated domed, arched sections that are made in varying levels. Three of these sections have large, bright golden crosses on top of them. There are no visible windows but there are sections that contain five small, round holes that may be a window of some type",church8,Roof,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well can you imagine this image in your mind?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"A roof is the top covering of a building, including all materials and constructions necessary to support it on the walls of the building or on uprights, providing protection against rain, snow, sunlight, extremes of temperature, and wind. A roof is part of the building envelope."
