description,img_id,context,q1,q2,q3,q4,article_text
The image shows a relatively small church on the ground.,church8,Building material,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes."
The image shows a large river running through mountains in summer or early fall.,mountains18,Montane Ecosystems,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Montane ecosystems are found on the slopes of mountains. The alpine climate in these regions strongly affects the ecosystem because temperatures fall as elevation increases, causing the ecosystem to stratify. This stratification is a crucial factor in shaping plant community, biodiversity, metabolic processes and ecosystem dynamics for montane ecosystems. Dense montane forests are common at moderate elevations, due to moderate temperatures and high rainfall. At higher elevations, the climate is harsher, with lower temperatures and higher winds, preventing the growth of trees and causing the plant community to transition to montane grasslands, shrublands or alpine tundra. Due to the unique climate conditions of montane ecosystems, they contain increased numbers of endemic species. Montane ecosystems also exhibit variation in ecosystem services, which include carbon storage and water supply."
The interior view of a dining room.,living_room6,Interior design,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Interior design is the art and science of enhancing the interior of a building to achieve a healthier and more aesthetically pleasing environment for the people using the space. An interior designer is someone who plans, researches, coordinates, and manages such enhancement projects. Interior design is a multifaceted profession that includes conceptual development, space planning, site inspections, programming, research, communicating with the stakeholders of a project, construction management, and execution of the design."
"A vintage church building is shown. The building is created out of square tan colored stone with rectangular brick accenting each layer of stone. The church building is constructed on a tiled floor in a lighter tan color. Portions of the roof are flat and there are separated domed, arched sections that are made in varying levels. Three of these sections have large, bright golden crosses on top of them. There are no visible windows but there are sections that contain five small, round holes that may be a window of some type",church8,Roof,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"A roof is the top covering of a building, including all materials and constructions necessary to support it on the walls of the building or on uprights, providing protection against rain, snow, sunlight, extremes of temperature, and wind. A roof is part of the building envelope."
A large river flowing across the land,mountains18,Body of water,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"A body of water or waterbody (often spelled water body) is any significant accumulation of water, generally on a planet's surface. The term most often refers to oceans, seas, and lakes, but it includes smaller pools of water such as ponds, wetlands, or more rarely, puddles. A body of water does not have to be still or contained; rivers, streams, canals, and other geographical features where water moves from one place to another are also considered bodies of water."
A group of men assembled on a soccer field wearing blue uniforms.,soccer_in_progress13,Hairstyle,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"A hairstyle, hairdo, or haircut refers to the styling of hair, usually on the human scalp. Sometimes, this could also mean an editing of facial or body hair. The fashioning of hair can be considered an aspect of personal grooming, fashion, and cosmetics, although practical, cultural, and popular considerations also influence some hairstyles."
"A garden, statue and fountain stand next to a tree-lined path that leads to a Gothic cathedral.",church19,Christian cross,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"The Christian cross, seen as a representation of the instrument of the crucifixion of Jesus, is the best-known symbol of Christianity. It is related to the crucifix (a cross that includes a corpus, usually a three-dimensional representation of Jesus' body) and to the more general family of cross symbols, the term cross itself being detached from the original specifically Christian meaning in modern English (as in many other western languages)."
"The image is that of a restaurant's kitchen. There are five cooks and one chef. The cooks and chef are preparing multiple, similar meals on a table. To the left of the chef and cooks is the kitchen, whose equipment is of stainless steel. Behind the equipment is the material needed to prepare the food.",laid_table3,Tableware,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Tableware are the dishes or dishware used for setting a table, serving food and dining. It includes cutlery, glassware, serving dishes and other items for practical as well as decorative purposes. The quality, nature, variety and number of objects varies according to culture, religion, number of diners, cuisine and occasion. For example, Middle Eastern, Indian or Polynesian food culture and cuisine sometimes limits tableware to serving dishes, using bread or leaves as individual plates. Cups are not dishes. Special occasions are usually reflected in higher quality tableware."
A table is set in a home and a turkey and wine are on the table.,laid_table14,American cuisine,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"American cuisine is primarily Western in origin, but has been significantly influenced by indigenous American Indians, African Americans, Asians, Pacific Islanders, and many other cultures and ethnicities, reflecting the history of the United States."
A group of people sitting at a table with computers in front of them and a screen on the wall with information as well.,meeting_in_progress7,Consumer electronics,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Consumer electronics or home electronics are electronic (analog or digital) equipment intended for everyday use, typically in private homes. Consumer electronics include devices used for entertainment, communications and recreation. Usually referred to as black goods due to many products being housed in black or dark casings. This term is used to distinguish them from ""white goods"" which are meant for housekeeping tasks, such as washing machines and refrigerators, although nowadays, these would be considered black goods, some of these being connected to the Internet. "
a group of people sit around a conference table in front of laptop computers.,meeting_in_progress7,Cooperation,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Cooperation (written as co-operation in British English) is the process of groups of organisms working or acting together for common, mutual, or some underlying benefit, as opposed to working in competition for selfish benefit. Many animal and plant species cooperate both with other members of their own species and with members of other species (symbiosis or mutualism)."
A group of men playing soccer as one tries to the kick the ball away from another.,soccer_in_progress10,Competition,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Competition is a rivalry where two or more parties strive for a common goal which cannot be shared: where one's gain is the other's loss (an example of which is a zero-sum game). Competition can arise between entities such as organisms, individuals, economic and social groups, etc. The rivalry can be over attainment of any exclusive goal, including recognition: (e.g. awards, goods, mates, status, prestige), leadership, market share, niches and scarce resources, or a territory."
An orange and white guitar and a brown and white guitar being played.,guitar.png,Guitar,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"The guitar is a fretted musical instrument that typically has six strings. It is held flat against the player's body and played by strumming or plucking the strings with the dominant hand, while simultaneously pressing selected strings against frets with the fingers of the opposite hand. A plectrum or individual finger picks may be used to strike the strings. The sound of the guitar is projected either acoustically, by means of a resonant chamber on the instrument, or amplified by an electronic pickup and an amplifier."
A park on a nice day with lots of grass and trees and a pond.,sculpture.png,Sculpture,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,"Sculpture is the branch of the visual arts that operates in three dimensions. It is one of the plastic arts. Durable sculptural processes originally used carving (the removal of material) and modelling (the addition of material, as clay), in stone, metal, ceramics, wood and other materials but, since Modernism, there has been an almost complete freedom of materials and process. A wide variety of materials may be worked by removal such as carving, assembled by welding or modelling, or moulded or cast."
There is a snowy mountain range with a lower path between them.,mountains16,Orogeny,How well can you imagine this image in your mind?:::Not well:::Very well,"Does the description mention extra information unnecessary for making the image accessible?:::Yes, too much:::No, just right",How well do you understand why the image occurs in this article?:::Not well:::Very well,How well does the description capture the relevant aspects of the image?:::Not well:::Very well,An orogeny is an event that leads to both structural deformation and compositional differentiation of the Earth's lithosphere (crust and uppermost mantle) at convergent plate margins. An orogen or orogenic belt develops when a continental plate crumples and is uplifted to form one or more mountain ranges; this involves a series of geological processes collectively called orogenesis. A synorogenic event is one that occurs during an orogeny.
